Unnamed: 0,netParams.connParams.PYR->BC_NMDA.weight,netParams.connParams.PYR->OLM_NMDA.weight,netParams.connParams.PYR->PYR_NMDA.weight,PYR,BC,OLM
24,0.0040414285714285,0.0050199999999999,3.4342857142857136e-05,1.18,7.58,6.36
25,0.0040414285714285,0.0050199999999999,4e-05,1.18,7.46,6.45
26,0.0040414285714285,0.00601,4e-07,1.11,7.38,6.93
27,0.0040414285714285,0.00601,6.057142857142856e-06,1.21,8.63,7.33
28,0.0040414285714285,0.00601,1.1714285714285711e-05,1.33,9.99,8.06
29,0.0040414285714285,0.00601,1.7371428571428566e-05,1.14,7.58,7.12
30,0.0040414285714285,0.00601,2.3028571428571423e-05,1.14,7.54,6.93
31,0.0040414285714285,0.00601,2.868571428571428e-05,1.24,7.96,7.6
32,0.0040414285714285,0.00601,3.4342857142857136e-05,1.15,7.28,6.96
33,0.0040414285714285,0.00601,4e-05,1.18,7.49,7.25
34,0.0040414285714285,0.007,4e-07,1.11,8.14,7.78
35,0.0040414285714285,0.007,6.057142857142856e-06,1.11,7.65,7.84
36,0.0040414285714285,0.007,1.1714285714285711e-05,1.14,7.77,7.83
37,0.0040414285714285,0.007,1.7371428571428566e-05,1.12,7.37,7.68
38,0.0040414285714285,0.007,2.3028571428571423e-05,1.11,7.16,7.64
39,0.0040414285714285,0.007,2.868571428571428e-05,1.12,7.08,7.88
40,0.0040414285714285,0.007,3.4342857142857136e-05,1.18,7.95,8.31
41,0.0040414285714285,0.007,4e-05,1.14,7.16,7.87
42,0.0059931428571428,7e-05,4e-07,12.8,1.0,4.41
43,0.0059931428571428,7e-05,6.057142857142856e-06,12.8,1.0,4.66
44,0.0059931428571428,7e-05,1.1714285714285711e-05,13.2,1.0,4.96
45,0.0059931428571428,7e-05,1.7371428571428566e-05,13.3,1.0,5.09
46,0.0059931428571428,7e-05,2.3028571428571423e-05,13.6,1.0,5.45
47,0.0059931428571428,7e-05,2.868571428571428e-05,14.0,1.0,5.75
48,0.0059931428571428,7e-05,3.4342857142857136e-05,14.3,1.0,6.05
49,0.0059931428571428,7e-05,4e-05,14.7,1.0,6.24
0,0.0059931428571428,0.00106,4e-07,5.49,1.0,8.78
1,0.0059931428571428,0.00106,6.057142857142856e-06,5.61,1.0,8.86
2,0.0059931428571428,0.00106,1.1714285714285711e-05,5.73,1.0,8.9
3,0.0059931428571428,0.00106,1.7371428571428566e-05,5.85,1.0,8.93
4,0.0059931428571428,0.00106,2.3028571428571423e-05,6.0,1.0,9.02
5,0.0059931428571428,0.00106,2.868571428571428e-05,5.96,1.0,8.96
6,0.0059931428571428,0.00106,3.4342857142857136e-05,6.16,1.0,8.99
7,0.0059931428571428,0.00106,4e-05,6.27,1.0,8.99
8,0.0059931428571428,0.00205,4e-07,3.5,1.0,9.09
9,0.0059931428571428,0.00205,6.057142857142856e-06,3.58,1.0,9.26
10,0.0059931428571428,0.00205,1.1714285714285711e-05,3.62,1.0,9.28
11,0.0059931428571428,0.00205,1.7371428571428566e-05,3.73,1.0,9.46
12,0.0059931428571428,0.00205,2.3028571428571423e-05,3.69,1.0,9.36
13,0.0059931428571428,0.00205,2.868571428571428e-05,3.81,1.0,9.54
14,0.0059931428571428,0.00205,3.4342857142857136e-05,3.86,1.0,9.69
15,0.0059931428571428,0.00205,4e-05,3.99,1.0,9.88
16,0.0059931428571428,0.00304,4e-07,1.7,7.49,6.72
17,0.0059931428571428,0.00304,6.057142857142856e-06,1.71,6.95,6.69
18,0.0059931428571428,0.00304,1.1714285714285711e-05,1.9,7.33,7.31
19,0.0059931428571428,0.00304,1.7371428571428566e-05,1.76,7.24,6.71
20,0.0059931428571428,0.00304,2.3028571428571423e-05,2.0,7.37,7.72
21,0.0059931428571428,0.00304,2.868571428571428e-05,2.0,6.75,7.57
22,0.0059931428571428,0.00304,3.4342857142857136e-05,2.04,6.3,7.65
23,0.0059931428571428,0.00304,4e-05,1.96,6.79,7.38
24,0.0059931428571428,0.00403,4e-07,1.19,9.21,5.59
25,0.0059931428571428,0.00403,6.057142857142856e-06,1.23,9.85,5.76
26,0.0059931428571428,0.00403,1.1714285714285711e-05,1.24,9.65,5.75
27,0.0059931428571428,0.00403,1.7371428571428566e-05,1.26,9.49,5.94
28,0.0059931428571428,0.00403,2.3028571428571423e-05,1.24,9.19,5.74
29,0.0059931428571428,0.00403,2.868571428571428e-05,1.21,8.98,5.75
30,0.0059931428571428,0.00403,3.4342857142857136e-05,1.2,8.91,5.69
31,0.0059931428571428,0.00403,4e-05,1.21,9.13,5.77
32,0.0059931428571428,0.0050199999999999,4e-07,1.06,8.87,5.91
33,0.0059931428571428,0.0050199999999999,6.057142857142856e-06,1.06,8.9,5.86
34,0.0059931428571428,0.0050199999999999,1.1714285714285711e-05,1.07,9.14,5.86
35,0.0059931428571428,0.0050199999999999,1.7371428571428566e-05,1.07,8.94,5.94
36,0.0059931428571428,0.0050199999999999,2.3028571428571423e-05,1.06,8.86,5.89
37,0.0059931428571428,0.0050199999999999,2.868571428571428e-05,1.11,9.27,6.17
38,0.0059931428571428,0.0050199999999999,3.4342857142857136e-05,1.06,8.63,6.11
39,0.0059931428571428,0.0050199999999999,4e-05,1.1,8.88,6.31
40,0.0059931428571428,0.00601,4e-07,1.02,8.62,6.38
41,0.0059931428571428,0.00601,6.057142857142856e-06,1.05,9.07,6.58
42,0.0059931428571428,0.00601,1.1714285714285711e-05,1.04,8.89,6.49
43,0.0059931428571428,0.00601,1.7371428571428566e-05,1.06,8.97,6.53
44,0.0059931428571428,0.00601,2.3028571428571423e-05,1.07,9.49,6.7
45,0.0059931428571428,0.00601,2.868571428571428e-05,1.08,8.91,6.63
46,0.0059931428571428,0.00601,3.4342857142857136e-05,1.1,9.09,6.87
47,0.0059931428571428,0.00601,4e-05,1.09,9.01,6.86
48,0.0059931428571428,0.007,4e-07,1.01,8.64,7.09
49,0.0059931428571428,0.007,6.057142857142856e-06,1.02,8.96,7.0
0,0.0059931428571428,0.007,1.1714285714285711e-05,1.06,9.14,7.26
1,0.0059931428571428,0.007,1.7371428571428566e-05,1.05,9.09,7.29
2,0.0059931428571428,0.007,2.3028571428571423e-05,1.02,8.3,7.25
3,0.0059931428571428,0.007,2.868571428571428e-05,1.06,8.84,7.37
4,0.0059931428571428,0.007,3.4342857142857136e-05,1.06,8.81,7.21
5,0.0059931428571428,0.007,4e-05,1.06,8.64,7.43
6,0.0079448571428571,7e-05,4e-07,13.0,1.0,4.32
7,0.0079448571428571,7e-05,6.057142857142856e-06,13.1,1.0,4.57
8,0.0079448571428571,7e-05,1.1714285714285711e-05,13.1,1.0,4.85
9,0.0079448571428571,7e-05,1.7371428571428566e-05,13.5,1.0,5.12
10,0.0079448571428571,7e-05,2.3028571428571423e-05,13.6,1.0,5.53
11,0.0079448571428571,7e-05,2.868571428571428e-05,13.9,1.0,5.66
12,0.0079448571428571,7e-05,3.4342857142857136e-05,14.2,1.0,5.92
13,0.0079448571428571,7e-05,4e-05,14.6,1.0,6.29
14,0.0079448571428571,0.00106,4e-07,5.47,1.0,8.78
15,0.0079448571428571,0.00106,6.057142857142856e-06,5.58,1.0,8.88
16,0.0079448571428571,0.00106,1.1714285714285711e-05,5.71,1.0,8.9
17,0.0079448571428571,0.00106,1.7371428571428566e-05,5.8,1.0,8.91
18,0.0079448571428571,0.00106,2.3028571428571423e-05,5.99,1.0,9.0
19,0.0079448571428571,0.00106,2.868571428571428e-05,5.91,1.0,8.94
20,0.0079448571428571,0.00106,3.4342857142857136e-05,6.08,1.0,8.97
21,0.0079448571428571,0.00106,4e-05,6.21,1.0,9.0
22,0.0079448571428571,0.00205,4e-07,3.52,1.0,9.1
23,0.0079448571428571,0.00205,6.057142857142856e-06,3.54,1.0,9.19
24,0.0079448571428571,0.00205,1.1714285714285711e-05,3.65,1.0,9.21
25,0.0079448571428571,0.00205,1.7371428571428566e-05,3.65,1.0,9.24
26,0.0079448571428571,0.00205,2.3028571428571423e-05,3.77,1.0,9.39
27,0.0079448571428571,0.00205,2.868571428571428e-05,3.8,1.0,9.58
28,0.0079448571428571,0.00205,3.4342857142857136e-05,3.88,1.0,9.62
29,0.0079448571428571,0.00205,4e-05,3.9,1.0,9.64
30,0.0079448571428571,0.00304,4e-07,2.47,1.02,9.48
31,0.0079448571428571,0.00304,6.057142857142856e-06,2.59,1.02,9.87
32,0.0079448571428571,0.00304,1.1714285714285711e-05,2.56,1.0,9.78
33,0.0079448571428571,0.00304,1.7371428571428566e-05,2.64,1.0,9.95
34,0.0079448571428571,0.00304,2.3028571428571423e-05,2.71,1.0,10.2
35,0.0079448571428571,0.00304,2.868571428571428e-05,2.74,1.0,10.3
36,0.0079448571428571,0.00304,3.4342857142857136e-05,2.77,1.0,10.5
37,0.0079448571428571,0.00304,4e-05,2.82,1.01,10.5
38,0.0079448571428571,0.00403,4e-07,1.24,9.04,5.79
39,0.0079448571428571,0.00403,6.057142857142856e-06,1.59,7.41,7.5
40,0.0079448571428571,0.00403,1.1714285714285711e-05,2.28,1.01,10.6
41,0.0079448571428571,0.00403,1.7371428571428566e-05,1.43,8.09,6.82
42,0.0079448571428571,0.00403,2.3028571428571423e-05,2.04,2.73,9.69
43,0.0079448571428571,0.00403,2.868571428571428e-05,2.33,1.01,10.7
44,0.0079448571428571,0.00403,3.4342857142857136e-05,1.64,7.28,7.91
45,0.0079448571428571,0.00403,4e-05,2.39,1.01,10.9
46,0.0079448571428571,0.0050199999999999,4e-07,1.05,9.54,5.99
47,0.0079448571428571,0.0050199999999999,6.057142857142856e-06,1.06,9.54,6.03
48,0.0079448571428571,0.0050199999999999,1.1714285714285711e-05,1.06,9.71,5.96
49,0.0079448571428571,0.0050199999999999,1.7371428571428566e-05,1.09,10.1,6.03
0,0.0079448571428571,0.0050199999999999,2.3028571428571423e-05,1.07,9.84,6.01
1,0.0079448571428571,0.0050199999999999,2.868571428571428e-05,1.1,9.48,6.17
2,0.0079448571428571,0.0050199999999999,3.4342857142857136e-05,1.12,9.84,6.05
3,0.0079448571428571,0.0050199999999999,4e-05,1.1,9.61,6.26
4,0.0079448571428571,0.00601,4e-07,1.04,9.89,6.55
5,0.0079448571428571,0.00601,6.057142857142856e-06,1.04,10.2,6.41
6,0.0079448571428571,0.00601,1.1714285714285711e-05,1.03,10.1,6.26
7,0.0079448571428571,0.00601,1.7371428571428566e-05,1.02,10.1,6.26
8,0.0079448571428571,0.00601,2.3028571428571423e-05,1.03,9.88,6.26
9,0.0079448571428571,0.00601,2.868571428571428e-05,1.02,9.54,6.33
10,0.0079448571428571,0.00601,3.4342857142857136e-05,1.03,9.09,6.62
11,0.0079448571428571,0.00601,4e-05,1.05,9.77,6.44
12,0.0079448571428571,0.007,4e-07,0.988,9.95,6.89
13,0.0079448571428571,0.007,6.057142857142856e-06,1.0,9.97,6.92
14,0.0079448571428571,0.007,1.1714285714285711e-05,0.979,9.61,6.84
15,0.0079448571428571,0.007,1.7371428571428566e-05,0.998,9.74,6.9
16,0.0079448571428571,0.007,2.3028571428571423e-05,0.983,9.44,7.0
17,0.0079448571428571,0.007,2.868571428571428e-05,1.02,9.78,7.08
18,0.0079448571428571,0.007,3.4342857142857136e-05,1.02,9.79,7.0
19,0.0079448571428571,0.007,4e-05,1.0,9.54,6.98
20,0.0098965714285714,7e-05,4e-07,12.9,1.0,4.38
21,0.0098965714285714,7e-05,6.057142857142856e-06,12.9,1.0,4.7
22,0.0098965714285714,7e-05,1.1714285714285711e-05,13.1,1.0,4.84
23,0.0098965714285714,7e-05,1.7371428571428566e-05,13.5,1.0,5.19
24,0.0098965714285714,7e-05,2.3028571428571423e-05,13.6,1.0,5.5
25,0.0098965714285714,7e-05,2.868571428571428e-05,14.1,1.0,5.59
26,0.0098965714285714,7e-05,3.4342857142857136e-05,14.4,1.0,6.0
27,0.0098965714285714,7e-05,4e-05,14.8,1.0,6.2
28,0.0098965714285714,0.00106,4e-07,5.42,1.0,8.76
29,0.0098965714285714,0.00106,6.057142857142856e-06,5.57,1.0,8.85
30,0.0098965714285714,0.00106,1.1714285714285711e-05,5.7,1.0,8.89
31,0.0098965714285714,0.00106,1.7371428571428566e-05,5.79,1.0,8.94
32,0.0098965714285714,0.00106,2.3028571428571423e-05,5.95,1.0,8.99
33,0.0098965714285714,0.00106,2.868571428571428e-05,5.9,1.0,8.94
34,0.0098965714285714,0.00106,3.4342857142857136e-05,6.04,1.0,8.96
35,0.0098965714285714,0.00106,4e-05,6.16,1.0,8.99
36,0.0098965714285714,0.00205,4e-07,3.59,1.0,9.12
37,0.0098965714285714,0.00205,6.057142857142856e-06,3.58,1.0,9.07
38,0.0098965714285714,0.00205,1.1714285714285711e-05,3.71,1.0,9.21
39,0.0098965714285714,0.00205,1.7371428571428566e-05,3.73,1.0,9.36
40,0.0098965714285714,0.00205,2.3028571428571423e-05,3.74,1.0,9.37
41,0.0098965714285714,0.00205,2.868571428571428e-05,3.75,1.0,9.4
42,0.0098965714285714,0.00205,3.4342857142857136e-05,3.84,1.0,9.47
43,0.0098965714285714,0.00205,4e-05,3.87,1.0,9.94
44,0.0098965714285714,0.00304,4e-07,2.52,1.0,9.72
45,0.0098965714285714,0.00304,6.057142857142856e-06,2.63,1.0,10.0
46,0.0098965714285714,0.00304,1.1714285714285711e-05,2.6,1.0,9.9
47,0.0098965714285714,0.00304,1.7371428571428566e-05,2.71,1.0,10.2
48,0.0098965714285714,0.00304,2.3028571428571423e-05,2.7,1.0,10.1
49,0.0098965714285714,0.00304,2.868571428571428e-05,2.76,1.0,10.3
0,0.0098965714285714,0.00304,3.4342857142857136e-05,2.71,1.0,10.2
1,0.0098965714285714,0.00304,4e-05,2.71,1.0,10.2
2,0.0098965714285714,0.00403,4e-07,2.07,1.0,9.86
3,0.0098965714285714,0.00403,6.057142857142856e-06,2.25,1.0,10.4
4,0.0098965714285714,0.00403,1.1714285714285711e-05,2.16,1.0,10.1
5,0.0098965714285714,0.00403,1.7371428571428566e-05,2.16,1.04,10.2
6,0.0098965714285714,0.00403,2.3028571428571423e-05,2.26,1.03,10.7
7,0.0098965714285714,0.00403,2.868571428571428e-05,2.33,1.0,10.8
8,0.0098965714285714,0.00403,3.4342857142857136e-05,2.26,1.0,10.7
9,0.0098965714285714,0.00403,4e-05,2.33,1.0,10.8
10,0.0098965714285714,0.0050199999999999,4e-07,1.03,10.4,5.81
11,0.0098965714285714,0.0050199999999999,6.057142857142856e-06,1.05,10.0,5.91
