Unnamed: 0,netParams.connParams.BC->BC_GABA.weight,netParams.connParams.BC->PYR_GABA.weight,netParams.connParams.OLM->PYR_GABA.weight,PYR,BC,OLM
14,0.0195428571428571,0.0021085714285714,0.6181714285714285,2.73,8.4,2.96
15,0.0195428571428571,0.0021085714285714,0.72,2.76,9.66,3.46
16,0.0195428571428571,0.0031268571428571,0.0072,4.05,13.9,4.03
17,0.0195428571428571,0.0031268571428571,0.1090285714285714,2.94,10.4,3.23
18,0.0195428571428571,0.0031268571428571,0.2108571428571428,2.74,7.67,2.68
19,0.0195428571428571,0.0031268571428571,0.3126857142857142,2.79,8.01,2.31
20,0.0195428571428571,0.0031268571428571,0.4145142857142856,2.77,8.47,2.33
21,0.0195428571428571,0.0031268571428571,0.5163428571428571,2.79,8.8,2.8
22,0.0195428571428571,0.0031268571428571,0.6181714285714285,2.75,8.88,2.69
23,0.0195428571428571,0.0031268571428571,0.72,2.45,8.3,2.64
24,0.0195428571428571,0.0041451428571428,0.0072,3.77,14.4,3.5
25,0.0195428571428571,0.0041451428571428,0.1090285714285714,2.83,8.73,2.52
26,0.0195428571428571,0.0041451428571428,0.2108571428571428,2.52,7.75,2.65
27,0.0195428571428571,0.0041451428571428,0.3126857142857142,2.45,7.83,2.35
28,0.0195428571428571,0.0041451428571428,0.4145142857142856,2.52,7.59,2.0
29,0.0195428571428571,0.0041451428571428,0.5163428571428571,2.52,8.38,2.24
30,0.0195428571428571,0.0041451428571428,0.6181714285714285,2.27,8.02,2.4
31,0.0195428571428571,0.0041451428571428,0.72,2.3,8.28,2.52
32,0.0195428571428571,0.0051634285714285,0.0072,3.62,13.3,3.0
33,0.0195428571428571,0.0051634285714285,0.1090285714285714,2.6,7.41,2.17
34,0.0195428571428571,0.0051634285714285,0.2108571428571428,2.47,7.41,2.38
35,0.0195428571428571,0.0051634285714285,0.3126857142857142,2.48,7.42,2.0
36,0.0195428571428571,0.0051634285714285,0.4145142857142856,2.62,8.18,2.06
37,0.0195428571428571,0.0051634285714285,0.5163428571428571,2.45,7.46,1.98
38,0.0195428571428571,0.0051634285714285,0.6181714285714285,2.41,7.31,1.91
39,0.0195428571428571,0.0051634285714285,0.72,2.34,8.7,1.94
40,0.0195428571428571,0.0061817142857142,0.0072,3.52,13.9,2.79
41,0.0195428571428571,0.0061817142857142,0.1090285714285714,2.6,7.7,2.24
42,0.0195428571428571,0.0061817142857142,0.2108571428571428,2.43,7.21,2.0
43,0.0195428571428571,0.0061817142857142,0.3126857142857142,2.62,8.5,2.34
44,0.0195428571428571,0.0061817142857142,0.4145142857142856,2.29,7.07,1.88
45,0.0195428571428571,0.0061817142857142,0.5163428571428571,2.32,7.38,1.91
46,0.0195428571428571,0.0061817142857142,0.6181714285714285,2.18,7.91,1.98
47,0.0195428571428571,0.0061817142857142,0.72,2.39,8.71,2.02
48,0.0195428571428571,0.0072,0.0072,3.29,13.0,2.88
49,0.0195428571428571,0.0072,0.1090285714285714,2.61,8.79,2.01
0,0.0195428571428571,0.0072,0.2108571428571428,2.37,7.12,2.07
1,0.0195428571428571,0.0072,0.3126857142857142,2.39,7.83,1.84
2,0.0195428571428571,0.0072,0.4145142857142856,2.17,7.62,2.17
3,0.0195428571428571,0.0072,0.5163428571428571,2.31,8.1,2.0
4,0.0195428571428571,0.0072,0.6181714285714285,2.06,7.79,2.12
5,0.0195428571428571,0.0072,0.72,2.06,7.25,1.87
6,0.0259071428571428,7.2e-05,0.0072,9.1,27.5,10.7
7,0.0259071428571428,7.2e-05,0.1090285714285714,5.42,22.1,7.32
8,0.0259071428571428,7.2e-05,0.2108571428571428,5.24,10.2,7.53
9,0.0259071428571428,7.2e-05,0.3126857142857142,4.31,8.97,6.02
10,0.0259071428571428,7.2e-05,0.4145142857142856,4.15,7.72,5.85
11,0.0259071428571428,7.2e-05,0.5163428571428571,5.05,8.11,6.16
12,0.0259071428571428,7.2e-05,0.6181714285714285,5.11,9.39,6.56
13,0.0259071428571428,7.2e-05,0.72,4.85,9.19,5.82
14,0.0259071428571428,0.0010902857142857,0.0072,5.91,21.1,7.11
15,0.0259071428571428,0.0010902857142857,0.1090285714285714,3.65,13.4,5.12
16,0.0259071428571428,0.0010902857142857,0.2108571428571428,3.31,11.1,4.16
17,0.0259071428571428,0.0010902857142857,0.3126857142857142,3.03,8.98,4.07
18,0.0259071428571428,0.0010902857142857,0.4145142857142856,2.97,7.22,3.15
19,0.0259071428571428,0.0010902857142857,0.5163428571428571,3.31,8.09,3.48
20,0.0259071428571428,0.0010902857142857,0.6181714285714285,3.15,9.41,3.81
21,0.0259071428571428,0.0010902857142857,0.72,3.01,8.52,3.62
22,0.0259071428571428,0.0021085714285714,0.0072,5.04,18.5,6.07
23,0.0259071428571428,0.0021085714285714,0.1090285714285714,3.18,10.0,3.38
24,0.0259071428571428,0.0021085714285714,0.2108571428571428,3.05,10.3,4.38
25,0.0259071428571428,0.0021085714285714,0.3126857142857142,2.75,8.46,3.38
26,0.0259071428571428,0.0021085714285714,0.4145142857142856,2.77,7.33,2.92
27,0.0259071428571428,0.0021085714285714,0.5163428571428571,2.62,6.95,2.61
28,0.0259071428571428,0.0021085714285714,0.6181714285714285,2.65,7.01,2.92
29,0.0259071428571428,0.0021085714285714,0.72,2.53,7.5,3.19
30,0.0259071428571428,0.0031268571428571,0.0072,4.31,14.9,4.3
31,0.0259071428571428,0.0031268571428571,0.1090285714285714,3.08,8.73,2.74
32,0.0259071428571428,0.0031268571428571,0.2108571428571428,2.97,10.5,3.66
33,0.0259071428571428,0.0031268571428571,0.3126857142857142,2.67,6.98,2.66
34,0.0259071428571428,0.0031268571428571,0.4145142857142856,2.43,7.12,2.7
35,0.0259071428571428,0.0031268571428571,0.5163428571428571,2.56,7.02,2.4
36,0.0259071428571428,0.0031268571428571,0.6181714285714285,2.53,7.68,3.27
37,0.0259071428571428,0.0031268571428571,0.72,2.58,9.3,3.87
38,0.0259071428571428,0.0041451428571428,0.0072,4.07,13.3,3.8
39,0.0259071428571428,0.0041451428571428,0.1090285714285714,3.02,9.61,3.32
40,0.0259071428571428,0.0041451428571428,0.2108571428571428,2.6,7.78,2.92
41,0.0259071428571428,0.0041451428571428,0.3126857142857142,2.65,7.87,2.71
42,0.0259071428571428,0.0041451428571428,0.4145142857142856,2.46,7.0,2.21
43,0.0259071428571428,0.0041451428571428,0.5163428571428571,2.4,7.0,2.15
44,0.0259071428571428,0.0041451428571428,0.6181714285714285,2.47,7.84,2.35
45,0.0259071428571428,0.0041451428571428,0.72,2.36,7.17,2.56
46,0.0259071428571428,0.0051634285714285,0.0072,3.94,14.9,4.27
47,0.0259071428571428,0.0051634285714285,0.1090285714285714,2.76,7.27,2.35
48,0.0259071428571428,0.0051634285714285,0.2108571428571428,2.63,8.5,3.03
49,0.0259071428571428,0.0051634285714285,0.3126857142857142,2.54,7.67,2.62
0,0.0259071428571428,0.0051634285714285,0.4145142857142856,2.24,6.5,2.31
1,0.0259071428571428,0.0051634285714285,0.5163428571428571,2.43,7.2,2.22
2,0.0259071428571428,0.0051634285714285,0.6181714285714285,2.22,6.88,2.21
3,0.0259071428571428,0.0051634285714285,0.72,2.21,7.12,2.08
4,0.0259071428571428,0.0061817142857142,0.0072,3.59,13.1,3.31
5,0.0259071428571428,0.0061817142857142,0.1090285714285714,2.73,8.07,2.42
6,0.0259071428571428,0.0061817142857142,0.2108571428571428,2.56,7.76,2.73
7,0.0259071428571428,0.0061817142857142,0.3126857142857142,2.47,7.39,2.24
8,0.0259071428571428,0.0061817142857142,0.4145142857142856,2.31,6.82,2.06
9,0.0259071428571428,0.0061817142857142,0.5163428571428571,2.24,7.12,2.25
10,0.0259071428571428,0.0061817142857142,0.6181714285714285,2.21,6.97,1.9
11,0.0259071428571428,0.0061817142857142,0.72,2.19,6.87,2.0
12,0.0259071428571428,0.0072,0.0072,3.45,11.4,3.42
13,0.0259071428571428,0.0072,0.1090285714285714,2.61,7.63,2.02
14,0.0259071428571428,0.0072,0.2108571428571428,2.61,7.66,2.44
15,0.0259071428571428,0.0072,0.3126857142857142,2.36,7.33,2.12
16,0.0259071428571428,0.0072,0.4145142857142856,2.26,6.61,2.17
17,0.0259071428571428,0.0072,0.5163428571428571,2.19,6.89,1.94
18,0.0259071428571428,0.0072,0.6181714285714285,2.21,6.88,1.89
19,0.0259071428571428,0.0072,0.72,2.33,7.54,2.08
20,0.0322714285714285,7.2e-05,0.0072,10.1,26.7,11.3
21,0.0322714285714285,7.2e-05,0.1090285714285714,6.14,22.5,7.83
22,0.0322714285714285,7.2e-05,0.2108571428571428,5.23,11.4,7.57
23,0.0322714285714285,7.2e-05,0.3126857142857142,4.31,8.32,6.3
24,0.0322714285714285,7.2e-05,0.4145142857142856,4.09,8.28,5.84
25,0.0322714285714285,7.2e-05,0.5163428571428571,3.96,7.83,5.46
26,0.0322714285714285,7.2e-05,0.6181714285714285,5.0,7.88,6.05
27,0.0322714285714285,7.2e-05,0.72,4.98,7.84,6.26
28,0.0322714285714285,0.0010902857142857,0.0072,6.24,21.4,7.74
29,0.0322714285714285,0.0010902857142857,0.1090285714285714,4.43,15.8,7.08
30,0.0322714285714285,0.0010902857142857,0.2108571428571428,3.42,10.6,4.67
31,0.0322714285714285,0.0010902857142857,0.3126857142857142,3.17,9.27,4.07
32,0.0322714285714285,0.0010902857142857,0.4145142857142856,2.95,8.79,3.5
33,0.0322714285714285,0.0010902857142857,0.5163428571428571,2.52,6.58,2.92
34,0.0322714285714285,0.0010902857142857,0.6181714285714285,2.98,7.04,3.02
35,0.0322714285714285,0.0010902857142857,0.72,2.93,8.12,3.6
36,0.0322714285714285,0.0021085714285714,0.0072,5.17,18.2,6.42
37,0.0322714285714285,0.0021085714285714,0.1090285714285714,3.56,10.9,4.44
38,0.0322714285714285,0.0021085714285714,0.2108571428571428,3.14,9.24,3.81
39,0.0322714285714285,0.0021085714285714,0.3126857142857142,2.89,8.13,3.42
40,0.0322714285714285,0.0021085714285714,0.4145142857142856,2.54,7.54,3.09
41,0.0322714285714285,0.0021085714285714,0.5163428571428571,2.42,7.1,2.95
42,0.0322714285714285,0.0021085714285714,0.6181714285714285,2.7,7.74,2.6
43,0.0322714285714285,0.0021085714285714,0.72,2.65,7.5,3.36
44,0.0322714285714285,0.0031268571428571,0.0072,4.67,16.2,5.41
45,0.0322714285714285,0.0031268571428571,0.1090285714285714,2.99,7.76,2.81
46,0.0322714285714285,0.0031268571428571,0.2108571428571428,2.84,8.87,3.57
47,0.0322714285714285,0.0031268571428571,0.3126857142857142,2.79,8.27,3.13
48,0.0322714285714285,0.0031268571428571,0.4145142857142856,2.43,7.3,2.77
49,0.0322714285714285,0.0031268571428571,0.5163428571428571,2.75,7.61,2.37
0,0.0322714285714285,0.0031268571428571,0.6181714285714285,2.46,7.17,2.83
1,0.0322714285714285,0.0031268571428571,0.72,2.59,7.12,2.86
2,0.0322714285714285,0.0041451428571428,0.0072,4.16,13.6,4.19
3,0.0322714285714285,0.0041451428571428,0.1090285714285714,2.89,7.59,2.81
4,0.0322714285714285,0.0041451428571428,0.2108571428571428,2.83,7.16,2.42
